Producto,Calibre,Valor,Unidad de medida,Definición,Mes,Año,Empresa
Carne,50-100 UNI/KG,7550,Kilos,Kg netos del producto empacados en el mes*,1,2021,Quemchi
Carne,100-200 UNI/KG,364450,Kilos,Kg netos del producto empacados en el mes*,1,2021,Quemchi
Carne,200-300 UNI/KG,370109,Kilos,Kg netos del producto empacados en el mes*,1,2021,Quemchi
Carne,300-500 UNI/KG,29570,Kilos,Kg netos del producto empacados en el mes*,1,2021,Quemchi
Carne,500-1000 UNI/KG,5320,Kilos,Kg netos del producto empacados en el mes*,1,2021,Quemchi
Carne,INDUSTRIAL,53150,Kilos,Kg netos del producto empacados en el mes*,1,2021,Quemchi
Media Concha,40-60 UNI/KG,19539,Kilos,Kg netos del producto empacados en el mes*,1,2021,Quemchi
Media Concha,60-80 UNI/KG,19262,Kilos,Kg netos del producto empacados en el mes*,1,2021,Quemchi
Media Concha,80-100 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,1,2021,Quemchi
Media Concha,100 UP UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,1,2021,Quemchi
Entero,NATURAL,311571.9,Kilos,Kg netos del producto empacados en el mes*,1,2021,Quemchi
Entero,CON SALSA,35497.97,Kilos,Kg netos del producto empacados en el mes*,1,2021,Quemchi
Entero,NATURAL,,Kilos,Kg netos del producto empacados en el mes*,1,2021,Quemchi
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,1,2021,Quemchi
Rendimiento Olla mmpp Propia,,0.33,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,1,2021,Quemchi
Rendimiento Olla mmpp Terceros,,0.261,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,1,2021,Quemchi
Carne,50-100 UNI/KG,1010,Kilos,Kg netos del producto empacados en el mes*,8,2021,Quemchi
Carne,100-200 UNI/KG,24830,Kilos,Kg netos del producto empacados en el mes*,8,2021,Quemchi
Carne,200-300 UNI/KG,44749.2,Kilos,Kg netos del producto empacados en el mes*,8,2021,Quemchi
Carne,300-500 UNI/KG,181160,Kilos,Kg netos del producto empacados en el mes*,8,2021,Quemchi
Carne,500-1000 UNI/KG,24700,Kilos,Kg netos del producto empacados en el mes*,8,2021,Quemchi
Carne,INDUSTRIAL,12980,Kilos,Kg netos del producto empacados en el mes*,8,2021,Quemchi
Media Concha,40-60 UNI/KG,5499,Kilos,Kg netos del producto empacados en el mes*,8,2021,Quemchi
Media Concha,60-80 UNI/KG,32432,Kilos,Kg netos del producto empacados en el mes*,8,2021,Quemchi
Media Concha,80-100 UNI/KG,9299,Kilos,Kg netos del producto empacados en el mes*,8,2021,Quemchi
Media Concha,100 UP UNI/KG,9,Kilos,Kg netos del producto empacados en el mes*,8,2021,Quemchi
Entero,NATURAL,383130,Kilos,Kg netos del producto empacados en el mes*,8,2021,Quemchi
Entero,CON SALSA,18350,Kilos,Kg netos del producto empacados en el mes*,8,2021,Quemchi
Entero,NATURAL,,Kilos,Kg netos del producto empacados en el mes*,8,2021,Quemchi
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,8,2021,Quemchi
Rendimiento Olla mmpp Propia,,0.216,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,8,2021,Quemchi
Rendimiento Olla mmpp Terceros,,0.206,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,8,2021,Quemchi
Carne,50-100 UNI/KG,3450,Kilos,Kg netos del producto empacados en el mes*,2,2021,Quemchi
Carne,100-200 UNI/KG,252780,Kilos,Kg netos del producto empacados en el mes*,2,2021,Quemchi
Carne,200-300 UNI/KG,380538.80000000005,Kilos,Kg netos del producto empacados en el mes*,2,2021,Quemchi
Carne,300-500 UNI/KG,32867,Kilos,Kg netos del producto empacados en el mes*,2,2021,Quemchi
Carne,500-1000 UNI/KG,4980,Kilos,Kg netos del producto empacados en el mes*,2,2021,Quemchi
Carne,INDUSTRIAL,35760,Kilos,Kg netos del producto empacados en el mes*,2,2021,Quemchi
Media Concha,40-60 UNI/KG,13338,Kilos,Kg netos del producto empacados en el mes*,2,2021,Quemchi
Media Concha,60-80 UNI/KG,16542,Kilos,Kg netos del producto empacados en el mes*,2,2021,Quemchi
Media Concha,80-100 UNI/KG,1298,Kilos,Kg netos del producto empacados en el mes*,2,2021,Quemchi
Media Concha,100 UP UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,2,2021,Quemchi
Entero,NATURAL,320126,Kilos,Kg netos del producto empacados en el mes*,2,2021,Quemchi
Entero,CON SALSA,22380,Kilos,Kg netos del producto empacados en el mes*,2,2021,Quemchi
Entero,NATURAL,,Kilos,Kg netos del producto empacados en el mes*,2,2021,Quemchi
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,2,2021,Quemchi
Rendimiento Olla mmpp Propia,,0.271,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,2,2021,Quemchi
Rendimiento Olla mmpp Terceros,,0.304,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,2,2021,Quemchi
Carne,50-100 UNI/KG,3880,Kilos,Kg netos del producto empacados en el mes*,7,2021,Quemchi
Carne,100-200 UNI/KG,152310,Kilos,Kg netos del producto empacados en el mes*,7,2021,Quemchi
Carne,200-300 UNI/KG,222267.2,Kilos,Kg netos del producto empacados en el mes*,7,2021,Quemchi
Carne,300-500 UNI/KG,260088,Kilos,Kg netos del producto empacados en el mes*,7,2021,Quemchi
Carne,500-1000 UNI/KG,23060,Kilos,Kg netos del producto empacados en el mes*,7,2021,Quemchi
Carne,INDUSTRIAL,34760,Kilos,Kg netos del producto empacados en el mes*,7,2021,Quemchi
Media Concha,40-60 UNI/KG,2655,Kilos,Kg netos del producto empacados en el mes*,7,2021,Quemchi
Media Concha,60-80 UNI/KG,17713,Kilos,Kg netos del producto empacados en el mes*,7,2021,Quemchi
Media Concha,80-100 UNI/KG,4043,Kilos,Kg netos del producto empacados en el mes*,7,2021,Quemchi
Media Concha,100 UP UNI/KG,36,Kilos,Kg netos del producto empacados en el mes*,7,2021,Quemchi
Entero,NATURAL,359275,Kilos,Kg netos del producto empacados en el mes*,7,2021,Quemchi
Entero,CON SALSA,1825,Kilos,Kg netos del producto empacados en el mes*,7,2021,Quemchi
Entero,NATURAL,,Kilos,Kg netos del producto empacados en el mes*,7,2021,Quemchi
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,7,2021,Quemchi
Rendimiento Olla mmpp Propia,,0.229,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,7,2021,Quemchi
Rendimiento Olla mmpp Terceros,,0.215,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,7,2021,Quemchi
Carne,50-100 UNI/KG,2520,Kilos,Kg netos del producto empacados en el mes*,3,2021,Quemchi
Carne,100-200 UNI/KG,378010,Kilos,Kg netos del producto empacados en el mes*,3,2021,Quemchi
Carne,200-300 UNI/KG,440133.6,Kilos,Kg netos del producto empacados en el mes*,3,2021,Quemchi
Carne,300-500 UNI/KG,34706,Kilos,Kg netos del producto empacados en el mes*,3,2021,Quemchi
Carne,500-1000 UNI/KG,5940,Kilos,Kg netos del producto empacados en el mes*,3,2021,Quemchi
Carne,INDUSTRIAL,34060,Kilos,Kg netos del producto empacados en el mes*,3,2021,Quemchi
Media Concha,40-60 UNI/KG,19512,Kilos,Kg netos del producto empacados en el mes*,3,2021,Quemchi
Media Concha,60-80 UNI/KG,28125,Kilos,Kg netos del producto empacados en el mes*,3,2021,Quemchi
