Indicador,Valor,Unidad de medida,Definición,Mes,Año,Empresa
Ingreso Materia Prima Bruta Terceros,2763440.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,5,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2492410.0,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,5,2020,Blue Shell
Unidades por kilo mmpp terceros*,70.4,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,5,2020,Blue Shell
Ingreso Materia Prima Neta Propia,,,,6,2020,Blue Shell
Unidades por kilo mmpp propia*,,,,6,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,,,,6,2020,Blue Shell
Unidades por kilo mmpp terceros*,,,,6,2020,Blue Shell
rechazo propio,,,,6,2020,Blue Shell
rechazo terceros,,,,6,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1619426.0,,,6,2020,Blue Shell
Unidades por kilo mmpp propia*,75.0,,,6,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,3046863.0,,,6,2020,Blue Shell
Unidades por kilo mmpp terceros*,71.0,,,6,2020,Blue Shell
rechazo propio,0.132,,,6,2020,Blue Shell
rechazo terceros,0.101,,,6,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1866550.0,,,6,2020,Blue Shell
