FECHA,PRODUCTO,EMPAQUE,CALIBRE,CANTIDAD,PRECIO CFR,TIPO VENTA,PAIS,EMPRESA,SEMANA,MES,AÑO,MERCADO,Mercados 2,Mercados Carne,Mercados Entero,PRODUCTO EQUIVALENTE,PRODUCTO_EMPAQUE,ALFA,BETA,PRECIO EQUIV.,P*Q,ANTIGIO
2021-06-15 00:00:00,ENTERO,SIN SALSA,C40-55,38408.24476000575,1.0121042357459094,Spot,Turquia,Data Mussel,24,6,2021,Europa,Otros europa,Otros europa,Otros europa,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,1.0121042357459094,38873.147209167444,1.0121042357459094
2021-06-16 00:00:00,ENTERO,SIN SALSA,C20-40,2632.094420318041,0.9542697079890002,Spot,España,Data Mussel,24,6,2021,Europa,España,España,Otros europa,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,0.9542697079890002,2511.727973876374,0.9542697079890002
2021-06-16 00:00:00,CARNE,GRANEL,C200-300,33136.524890985354,1.4362241059632428,Spot,España,Data Mussel,24,6,2021,Europa,España,España,Otros europa,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.4362241059632428,47591.47583628418,1.4362241059632428
2021-06-16 00:00:00,CARNE,GRANEL,C300-500,9413.785480393566,1.3639309462671065,Spot,España,Data Mussel,24,6,2021,Europa,España,España,Otros europa,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.3639309462671065,12839.753338228744,1.3639309462671065
2021-06-17 00:00:00,CARNE,GRANEL,C0,12237.921124511637,1.0362019556446214,Spot,Argentina,Data Mussel,24,6,2021,America,America,America,America,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.0362019556446214,12680.957802243582,1.0362019556446214
2021-06-17 00:00:00,ENTERO,SIN SALSA,C40-60,38408.24476000575,0.9639087959484851,Spot,Rumania,Data Mussel,24,6,2021,Uee,Otros uee,Uee,Otros uee,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,0.9639087959484851,37022.04496111185,0.9639087959484851
2021-06-17 00:00:00,CARNE,GRANEL,C200-300,18827.570960787132,1.4458631939227278,Spot,España,Data Mussel,24,6,2021,Europa,España,España,Otros europa,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.4458631939227278,27222.091883170484,1.4458631939227278
2021-06-17 00:00:00,CARNE,GRANEL,C300-500,26358.599345101986,1.3976677541253033,Spot,España,Data Mussel,24,6,2021,Europa,España,España,Otros europa,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.3976677541253033,36840.56434855738,1.3976677541253033
2021-06-17 00:00:00,CARNE,GRANEL,C200-300,11183.577150707557,1.301276874530455,Contrato,Francia,Data Mussel,24,6,2021,Europa,Francia,Francia,Francia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.301276874530455,14552.930320742942,1.301276874530455
2021-06-17 00:00:00,CARNE,GRANEL,C300-500,26904.59890296481,1.301276874530455,Contrato,Francia,Data Mussel,24,6,2021,Europa,Francia,Francia,Francia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.301276874530455,35010.33237094556,1.301276874530455
